ident,type,name,elevation_ft,iso_region,municipality,gps_code,local_code,coordinates
00LL,heliport,Ac & R Components Heliport,600.0,US-IL,Chatham,00LL,00LL,"-89.70559692382812, 39.66529846191406"
00LS,small_airport,Lejeune Airport,12.0,US-LA,Esterwood,00LS,00LS,"-92.42939758300781, 30.13629913330078"
00MD,small_airport,Slater Field,45.0,US-MD,Federalsburg,00MD,00MD,"-75.75379943847656, 38.75709915161133"
00MI,heliport,Dow Chemical Heliport,588.0,US-MI,Ludington,00MI,00MI,"-86.41670227050781, 43.94940185546875"
00MN,small_airport,Battle Lake Municipal Airport,1365.0,US-MN,Battle Lake,00MN,00MN,"-95.70030212402344, 46.29999923706055"
00MO,small_airport,Cooper Flying Service Airport,970.0,US-MO,Alba,00MO,00MO,"-94.412399291992, 37.202800750732"
00MT,closed,Sands Ranch Airport,2600.0,US-MT,Havre,,,"-109.705002, 48.537498"
00N,small_airport,Bucks Airport,105.0,US-NJ,Bridgeton,00N,00N,"-75.1852035522461, 39.473201751708984"
00NC,small_airport,North Raleigh Airport,348.0,US-NC,Louisburg,00NC,00NC,"-78.37139892578125, 36.085201263427734"
00NJ,heliport,Colgate-Piscataway Heliport,78.0,US-NJ,New Brunswick,00NJ,00NJ,"-74.47460174560547, 40.52090072631836"
00NK,seaplane_base,Cliche Cove Seaplane Base,96.0,US-NY,Beekmantown,00NK,00NK,"-73.3698057, 44.8118612"
00NY,small_airport,Weiss Airfield,1000.0,US-NY,West Bloomfield,00NY,00NY,"-77.49970245361328, 42.90010070800781"
00OH,small_airport,Exit 3 Airport,785.0,US-OH,Wauseon,00OH,00OH,"-84.14219665527344, 41.59090042114258"
00OI,heliport,Miami Valley Hospital Heliport,905.0,US-OH,Dayton,00OI,00OI,"-84.1874008178711, 39.74530029296875"
00OK,small_airport,Gull Bay Landing Airport,960.0,US-OK,Sandsprings,00OK,00OK,"-96.217693, 36.198598"
00OR,heliport,Steel Systems Heliport,195.0,US-OR,Salem,00OR,00OR,"-123.12999725341797, 44.932899475097656"
00PA,heliport,R J D Heliport,402.0,US-PA,Coatesville,00PA,00PA,"-75.74690246582031, 39.94889831542969"
00PN,small_airport,Ferrell Field,1301.0,US-PA,Mercer,00PN,00PN,"-80.211111, 41.2995"
00PS,closed,Thomas Field,815.0,US-PA,Loysville,,,"-77.365303, 40.3778"
00S,small_airport,Mc Kenzie Bridge State Airport,1620.0,US-OR,Mc Kenzie Bridge,00S,00S,"-122.088996887, 44.183200836199994"
00SC,small_airport,Flying O Airport,150.0,US-SC,Sumter,00SC,00SC,"-80.26719665527344, 34.0093994140625"
00SD,small_airport,Homan Field,1590.0,US-SD,Gary,00SD,00SD,"-96.498897, 44.809158"
00TA,heliport,Sw Region Faa Heliport,598.0,US-TX,Fort Worth,00TA,00TA,"-97.30580139160156, 32.826900482177734"
00TE,heliport,Tcjc-Northeast Campus Heliport,600.0,US-TX,Fort Worth,00TE,00TE,"-97.18949890136719, 32.847599029541016"
00TN,small_airport,Ragsdale Road Airport,1100.0,US-TN,Manchester,00TN,00TN,"-85.95359802246094, 35.515899658203125"
00TS,small_airport,Alpine Range Airport,670.0,US-TX,Everman,00TS,00TS,"-97.24199676513672, 32.607601165771484"
00TX,closed,San Jacinto Methodist Hospital Heliport,19.0,US-TX,Baytown,,,"-94.980201, 29.7377"
00UT,closed,Clear Creek Ranch Airport,6138.0,US-UT,Kanab,,,"-112.821998, 37.247799"
00VA,small_airport,Vaughan Airport,551.0,US-VA,Alton,00VA,00VA,"-78.9991684, 36.57600021"
00VI,small_airport,Groundhog Mountain Airport,2680.0,US-VA,Hillsville,00VI,00VI,"-80.49949645996094, 36.663299560546875"
00W,small_airport,Lower Granite State Airport,719.0,US-WA,Colfax,00W,00W,"-117.44300079346, 46.673500061035"
00WA,small_airport,Howell Airport,150.0,US-WA,Longbranch,00WA,00WA,"-122.77200317382812, 47.17839813232422"
00WI,small_airport,Northern Lite Airport,860.0,US-WI,Waupaca,00WI,00WI,"-89.05010223388672, 44.304298400878906"
00WN,small_airport,Hawks Run Airport,2900.0,US-WA,Asotin,00WN,00WN,"-117.2490005493164, 46.25"
00WV,small_airport,Lazy J. Aerodrome,2060.0,US-WV,Beverly,00WV,00WV,"-79.86609649658203, 38.82889938354492"
00WY,heliport,Mountain View Regional Hospital Heliport,5210.0,US-WY,Casper,00WY,00WY,"-106.224443, 42.840361"
00XS,small_airport,L P Askew Farms Airport,3110.0,US-TX,O'Donnell,00XS,00XS,"-101.93399810791016, 33.03340148925781"
01A,small_airport,Purkeypile Airport,1950.0,US-AK,Purkeypile,01A,01A,"-152.27000427246094, 62.943599700927734"
01AK,heliport,Providence Seward Medical Center Heliport,120.0,US-AK,Seward,01AK,01AK,"-149.446249008, 60.105873975399994"
01AL,small_airport,Ware Island Airport,344.0,US-AL,Clanton,01AL,01AL,"-86.51390075683594, 32.94599914550781"
01AR,heliport,Community Hospital of De Queen Heliport,400.0,US-AR,De Queen,01AR,01AR,"-94.35489654541016, 34.047298431396484"
01AZ,heliport,Yat Heliport,3300.0,US-AZ,Camp Verde,01AZ,01AZ,"-111.86499786376953, 34.60810089111328"
01C,closed,Grant Airport,815.0,US-MI,Grant,01C,01C,"-85.775001525879, 43.341701507568"
01CA,heliport,Lugo Substation Heliport,3733.0,US-CA,Hesperia,01CA,01CA,"-117.370058745, 34.368240591699994"
01CL,small_airport,Swansboro Country Airport,2594.0,US-CA,Placerville,01CL,01CL,"-120.73400115966797, 38.79990005493164"
01CN,heliport,Los Angeles County Sheriff's Department Heliport,300.0,US-CA,Los Angeles,01CN,01CN,"-118.15399932861328, 34.03779983520508"
01CO,heliport,St Vincent General Hospital Heliport,10175.0,US-CO,Leadville,01CO,01CO,"-106.24600219726562, 39.24530029296875"
01CT,heliport,Berlin Fairgrounds Heliport,60.0,US-CT,Berlin,01CT,01CT,"-72.72750091552734, 41.62730026245117"
01FA,small_airport,Rybolt Ranch Airport,55.0,US-FL,Orlando,01FA,01FA,"-81.14420318603516, 28.589399337768555"
01FD,heliport,Advent Health Altamonte Springs Heliport,86.0,US-FL,Altamonte Springs,01FD,01FD,"-81.3697, 28.666639"
01FL,small_airport,Cedar Knoll Flying Ranch Airport,19.0,US-FL,Geneva,01FL,01FL,"-81.1592025756836, 28.78190040588379"
01GA,heliport,Medical Center Heliport,319.0,US-GA,Columbus,01GA,01GA,"-84.9791030883789, 32.47930145263672"
01GE,small_airport,The Farm Airport,375.0,US-GA,Wrightsville,01GE,01GE,"-82.77110290527344, 32.674400329589844"
01IA,small_airport,Stender Airport,725.0,US-IA,Maysville,01IA,01IA,"-90.74130249023438, 41.66109848022461"
01ID,small_airport,Lava Hot Springs Airport,5268.0,US-ID,Lava Hot Springs,01ID,01ID,"-112.031998, 42.6082"
01II,small_airport,Myers Field,950.0,US-IN,Lizton,01II,01II,"-86.50669860839844, 39.8849983215332"
01IL,heliport,Hoopeston Community Memorial Hospital Heliport,583.0,US-IL,Hoopeston,01IL,01IL,"-87.65950012207031, 40.45859909057617"
01IN,heliport,Community Hospital Heliport,890.0,US-IN,Anderson,01IN,01IN,"-85.69580078125, 40.13090133666992"
01IS,small_airport,William E. Koenig Airport,670.0,US-IL,Dow,01IS,01IS,"-90.31819915771484, 39.01620101928711"
01J,small_airport,Hilliard Airpark,59.0,US-FL,Hilliard,01J,01J,"-81.90570068359375, 30.68630027770996"
01K,small_airport,Caldwell Municipal Airport,1157.0,US-KS,Caldwell,01K,01K,"-97.5864028930664, 37.03609848022461"
01KS,small_airport,Flying N Ranch Airport,1485.0,US-KS,Lost Springs,01KS,01KS,"-97.00330352783203, 38.54059982299805"
01KY,heliport,Lourdes Hospital Heliport,419.0,US-KY,Paducah,01KY,01KY,"-88.64689636230469, 37.051700592041016"
01LA,small_airport,Barham Airport,90.0,US-LA,Oak Ridge,01LA,01LA,"-91.77369689941406, 32.638999938964844"
01LL,small_airport,Schumaier Restricted Landing Area,555.0,US-IL,Pinckneyville,01LL,01LL,"-89.46389770507812, 38.12580108642578"
01LS,small_airport,Country Breeze Airport,125.0,US-LA,Slaughter,01LS,01LS,"-91.07740020751953, 30.70599937438965"
01MA,heliport,Compaq Andover Heliport,140.0,US-MA,Andover,01MA,01MA,"-71.18009948730469, 42.625099182128906"
01MD,seaplane_base,Annapolis Seaplane Base,,US-MD,Annapolis,01MD,01MD,"-76.456001, 38.999199"
01ME,seaplane_base,Saint Peter's Seaplane Base,608.0,US-ME,Portage Lake,01ME,01ME,"-68.50029754638672, 46.778900146484375"
01MI,heliport,Flow Through Terminal Heliport,736.0,US-MI,Flint,01MI,01MI,"-83.67970275878906, 43.04949951171875"
01MN,seaplane_base,Barnes Seaplane Base,1358.0,US-MN,Cook,01MN,01MN,"-92.55740356445312, 47.899600982666016"
01MO,heliport,Highway Patrol Troop C Headquarters Heliport,615.0,US-MO,Town and Country,01MO,01MO,"-90.48429870605469, 38.641700744628906"
01MT,small_airport,Crystal Lakes Resort Airport,3141.0,US-MT,Fortine,01MT,01MT,"-114.87999725341797, 48.789100646972656"
01NC,small_airport,Topsail Airpark,65.0,US-NC,Holly Ridge,01NC,01NC,"-77.5813980102539, 34.47529983520508"
01NE,small_airport,Detour Airport,3000.0,US-NE,Wellfleet,01NE,01NE,"-100.65299987792969, 40.84360122680664"
01NH,small_airport,Moore Airfield,835.0,US-NH,Canaan,01NH,01NH,"-72.086998, 43.6445"
01NJ,heliport,Albert Guido Memorial Heliport,10.0,US-NJ,Newark,01NJ,01NJ,"-74.13710021972656, 40.741798400878906"
01NM,small_airport,Champion Ranch Airport,3630.0,US-NM,Artesia,01NM,01NM,"-104.540278, 33.008611"
01NV,small_airport,Lantana Ranch Airport,4600.0,US-NV,Yerington,01NV,01NV,"-119.0270004272461, 38.76390075683594"
01NY,heliport,Vassar Hospital Heliport,100.0,US-NY,Poughkeepsie,01NY,01NY,"-73.94960021972656, 41.70009994506836"
01OI,heliport,Galion Community Hospital Heliport,1140.0,US-OH,Galion,01OI,01OI,"-82.80159759521484, 40.73059844970703"
01OK,closed,Lawrence Airport,1525.0,US-OK,Eakly,,,"-98.636496, 35.294498"
01OR,closed,Red & White Flying Service Airport,4346.0,US-OR,Silver Lake,,,"-121.044997, 43.119301"
01PA,heliport,Pine Heliport,1215.0,US-PA,Mars,01PA,01PA,"-80.0509033203125, 40.655601501464844"
01PN,small_airport,Bierly(Personal Use) Airport,960.0,US-PA,Bellefonte,01PN,01PN,"-77.73889923095703, 40.930599212646484"
01PS,small_airport,Nort's Resort Airport,1040.0,US-PA,Meshoppen,01PS,01PS,"-76.02960205078125, 41.59590148925781"
01SC,small_airport,York Airport,779.0,US-SC,York,01SC,01SC,"-81.25279998779297, 35.032100677490234"
01TA,heliport,Thirty Thirty Matlock Office Center Heliport,630.0,US-TX,Arlington,01TA,01TA,"-97.11579895019531, 32.69419860839844"
01TE,small_airport,Smith Field,505.0,US-TX,Forney,01TE,01TE,"-96.4280014038086, 32.73759841918945"
01TN,small_airport,Colonial Air Park,370.0,US-TN,Collierville,01TN,01TN,"-89.73059844970703, 34.99589920043945"
01TS,closed,St Joseph Hospital Heliport,675.0,US-TX,Fort Worth,,,"-97.324501, 32.7285"
01TX,small_airport,Mims Farm Ultralightport,610.0,US-TX,Waxahachie,01TX,01TX,"-96.87750244140625, 32.38759994506836"
01U,small_airport,Duckwater Airport,5124.0,US-NV,Duckwater,01U,01U,"-115.63400268554688, 38.851600646972656"
01UT,small_airport,La Sal Junction Airport,6000.0,US-UT,La Sal,01UT,01UT,"-109.39600372314453, 38.30830001831055"
01VA,small_airport,Pickles Airport,500.0,US-VA,Berryville,01VA,01VA,"-77.9250030518, 39.125"
01WA,heliport,Willapa Harbor Heliport,154.0,US-WA,South Bend,01WA,01WA,"-123.81199645996094, 46.66320037841797"
01WI,small_airport,Prehn Cranberry Company Airport,930.0,US-WI,Tomah,01WI,01WI,"-90.38919830322266, 44.0099983215332"
01WN,heliport,Whidbey General Hospital Heliport,103.0,US-WA,Coupeville,01WN,01WN,"-122.68499755859375, 48.213401794433594"
01WT,heliport,Odyssey Heliport,20.0,US-WA,Renton,01WT,01WT,"-122.210908, 47.518178"
01WY,small_airport,Keyhole Airport,4250.0,US-WY,Moorcroft,01WY,01WY,"-104.81099700927734, 44.347198486328125"
01XA,heliport,Seton Medical Center Hays Heliport,715.0,US-TX,Kyle,01XA,01XA,"-97.853333, 30.007222"
01XS,heliport,Meadowood Ranch Heliport,500.0,US-TX,Athens,01XS,01XS,"-95.74549865722656, 32.020198822021484"
02AK,small_airport,Rustic Wilderness Airport,190.0,US-AK,Willow,02AK,02AK,"-150.09800720214844, 61.87689971923828"
02AL,small_airport,Bass Field,61.0,US-AL,Foley,02AL,02AL,"-87.76439666748047, 30.37150001525879"
02AR,closed,Three Rivers Airport,264.0,US-AR,Little Rock,,,"-92.44442, 34.822445"
02AZ,closed,Winchester Farm Airstrip,4200.0,US-AZ,Willcox,,,"-109.936996, 32.376401"
02CA,heliport,Swepi Beta Platform Ellen Heliport,122.0,US-CA,Huntington Beach,02CA,02CA,"-118.12899780273438, 33.58250045776367"
02CD,small_airport,Shannon Field,165.0,US-MS,Clarksdale,02CD,02CD,"-90.52400207519531, 34.129600524902344"
02CL,small_airport,Conover Air Lodge Airport,5160.0,US-CA,Frazier Park,02CL,02CL,"-119.058998, 34.761101"
02CO,small_airport,Mc Cullough Airport,7615.0,US-CO,Monte Vista,02CO,02CO,"-106.04699707, 37.64329910279999"
02CT,heliport,Strangers Point Heliport,540.0,US-CT,Ellington,02CT,02CT,"-72.44450378417969, 41.91960144042969"
02FA,small_airport,Osborn Airfield,121.0,US-FL,Groveland,02FA,02FA,"-81.87480163574219, 28.52669906616211"
02FL,small_airport,Cuchens Airport,215.0,US-FL,Defuniak Springs,02FL,02FL,"-86.123889, 30.642778"
02GA,small_airport,Doug Bolton Field,884.0,US-GA,Commerce,02GA,02GA,"-83.42900085449219, 34.202598571777344"
02GE,small_airport,Etowah Fields Airport,710.0,US-GA,Euharlee,02GE,02GE,"-84.92440032958984, 34.17530059814453"
02HI,heliport,K3 Helipad Heliport,9.0,US-HI,Pearl Harbor,02HI,02HI,"-157.9510040283203, 21.36199951171875"
02IA,heliport,Boone County Hospital Heliport,1160.0,US-IA,Boone,02IA,02IA,"-93.87799835205078, 42.05609893798828"
02ID,small_airport,Morgan Ranch Airport,5634.0,US-ID,Cascade,02ID,02ID,"-115.30500030517578, 44.55550003051758"
02II,small_airport,King Ultralightport,925.0,US-IN,Westfield,02II,02II,"-86.21050262451172, 40.06230163574219"
02IN,small_airport,Diamond P. Field,904.0,US-IN,Muncie,02IN,02IN,"-85.54080200195312, 40.208900451660156"
02IS,heliport,Condell Medical Center Heliport,762.0,US-IL,Libertyville,02IS,02IS,"-87.9572982788086, 42.274600982666016"
02KS,small_airport,Jmj Landing Airport,1170.0,US-KS,St Marys,02KS,02KS,"-96.0552978515625, 39.222198486328125"
02KT,heliport,St Claire Healthcare Heliport,781.0,US-KY,Morehead,02KT,02KT,"-83.443319, 38.181441"
02KY,heliport,Boone National Guard Heliport,760.0,US-KY,Frankfort,02KY,02KY,"-84.89990234375, 38.18339920043945"
02LA,heliport,La State Police Troop G Heliport,168.0,US-LA,Bossier City,02LA,02LA,"-93.66020202636719, 32.53129959106445"
02LS,heliport,Windy Hill Heliport,25.0,US-LA,Broussard,02LS,02LS,"-91.91899871826172, 30.148300170898438"
02MA,heliport,Cuttyhunk Heliport,9.0,US-MA,Gosnold,02MA,02MA,"-70.927001953125, 41.41960144042969"
02MD,small_airport,Garner Field,141.0,US-MD,Brandywine,02MD,02MD,"-76.709739, 38.672544"
02ME,small_airport,Nadeau's Airport,700.0,US-ME,Acton,02ME,02ME,"-70.929397, 43.5373"
02MI,small_airport,Fairplains Airpark,850.0,US-MI,Greenville,02MI,02MI,"-85.14849853515625, 43.157100677490234"
02MN,small_airport,Greenbush Municipal Airport,1070.0,US-MN,Greenbush,02MN,02MN,"-96.19200134277344, 48.68330001831055"
02MO,small_airport,Troy Airpark,650.0,US-MO,Troy,02MO,02MO,"-91.03350067138672, 39.04999923706055"
02MS,small_airport,Watts Field,153.0,US-MS,Rochdale,02MS,02MS,"-90.8468017578125, 34.100101470947266"
02MT,closed,Barrett Field,3350.0,US-MT,Cascade,,,"-111.74304, 47.2374"
02MU,closed,Timber Line Airpark,1550.0,US-MO,Cassville,,,"-93.797418, 36.654233"
02NC,heliport,Race City Heliport,809.0,US-NC,Landis,02NC,02NC,"-80.597778, 35.541111"
02NE,small_airport,Benes Service Airport,1550.0,US-NE,Valparaiso,02NE,02NE,"-96.90450286865234, 41.074501037597656"
02NH,seaplane_base,Iroquois Landing Seaplane Base,1180.0,US-NH,Dummer,02NH,02NH,"-71.21910095214844, 44.657100677490234"
02NJ,heliport,Penske Heliport,78.0,US-NJ,Piscataway,02NJ,02NJ,"-74.46710205078125, 40.55730056762695"
02NV,small_airport,Paiute Meadows Airport,4443.0,US-NV,Winnemucca,02NV,02NV,"-118.5979995727539, 41.30329895019531"
02NY,heliport,Hansen Heliport,435.0,US-NY,Durhamville,02NY,02NY,"-75.65550231933594, 43.132598876953125"
02OH,small_airport,Zimmerman Airport,614.0,US-OH,Fremont,02OH,02OH,"-83.08329772949219, 41.376399993896484"
02OI,small_airport,Murtha Airport,950.0,US-OH,Conneaut,02OI,02OI,"-80.56539916992188, 41.801998138427734"
02OK,heliport,Canon Heliport,1191.0,US-OK,Oklahoma City,02OK,02OK,"-97.52529907226562, 35.45840072631836"
02OR,small_airport,Rowena Dell Airport,705.0,US-OR,The Dalles,02OR,02OR,"-121.31600189208984, 45.68149948120117"
02P,heliport,Stottle Memorial Heliport,591.0,US-PA,Honey Grove,,02P,"-77.556602, 40.403596"
02PA,heliport,Lag Iii Heliport,1070.0,US-PA,Monroeville,02PA,02PA,"-79.7699966430664, 40.43830108642578"
02PN,heliport,Peco Berwyn Heliport,390.0,US-PA,Berwyn,02PN,02PN,"-75.4552001953125, 40.06959915161133"
02PS,small_airport,Hughes Ultralightport,1700.0,US-PA,Tioga,02PS,02PS,"-77.23030090332031, 41.90060043334961"
02SC,small_airport,Harpers Airport,111.0,US-SC,Estill,02SC,02SC,"-81.22480010986328, 32.75849914550781"
02T,small_airport,Wise River Airport,5830.0,US-MT,Wise River,02T,02T,"-112.98200225830078, 45.769100189208984"
02TA,heliport,Matagorda Shore Facility Heliport,5.0,US-TX,Matagorda,02TA,02TA,"-95.8738021850586, 28.721399307250977"
02TE,heliport,Baylor Medical Center Heliport,560.0,US-TX,Waxahachie,02TE,02TE,"-96.86419677734375, 32.39540100097656"
02TN,small_airport,Ellis Field,840.0,US-TN,Murfreesboro,02TN,02TN,"-86.58419799804688, 35.780601501464844"
02TS,closed,FWOMC Heliport,684.0,US-TX,Fort Worth,,,"-97.370003, 32.747601"
02TX,small_airport,The Palms At Kitty Hawk Airport,3235.0,US-TX,New Home,02TX,02TX,"-101.92288208, 33.3704032898"
02UT,small_airport,Lucin Airport,4412.0,US-UT,Lucin,02UT,02UT,"-113.84300231933594, 41.36629867553711"
02VA,small_airport,The Greenhouse Airport,320.0,US-VA,Culpeper,02VA,02VA,"-77.8572006225586, 38.435699462890625"
02VG,heliport,Northstar Aviation Heliport,1850.0,US-VA,Bristol,02VG,02VG,"-82.11669921875, 36.63880157470703"
02WA,small_airport,Cawleys South Prairie Airport,690.0,US-WA,South Prairie,02WA,02WA,"-122.09400177001953, 47.15230178833008"
02WI,small_airport,Beer Airport,920.0,US-WI,Hudson,02WI,02WI,"-92.65579986572266, 45.031898498535156"
02WN,small_airport,Fowler Field,2150.0,US-WA,Tonasket,02WN,02WN,"-119.31900024414062, 48.74580001831055"
02XA,small_airport,JLS Farms Airport,675.0,US-TX,Honey Grove,02XA,02XA,"-95.882864, 33.591319"
02XS,small_airport,Seidel Ranch Airport,510.0,US-TX,Elroy,02XS,02XS,"-97.66280364990234, 30.1476993560791"
03AA,heliport,Trapper T Heliport,159.0,US-AK,Palmer,03AA,03AA,"-149.284527, 61.556055"
03AK,seaplane_base,Joe Clouds Seaplane Base,150.0,US-AK,Kenai,03AK,03AK,"-151.13278198242188, 60.72722244262695"
03AL,heliport,Highland Medical Center Heliport,628.0,US-AL,Scottsboro,03AL,03AL,"-86.046774, 34.662604"
03AR,heliport,Hscmh Heliport,350.0,US-AR,Malvern,03AR,03AR,"-92.78849792480469, 34.357601165771484"
03AZ,small_airport,Thompson International Aviation Airport,4275.0,US-AZ,Hereford,03AZ,03AZ,"-110.08399963378906, 31.433399200439453"
03CA,heliport,Grossmont Hospital Heliport,634.0,US-CA,La Mesa,03CA,03CA,"-117.006952, 32.779484"
03CO,small_airport,Kugel-Strong Airport,4950.0,US-CO,Platteville,03CO,03CO,"-104.744003296, 40.2125015259"
03FA,small_airport,Lake Persimmon Airstrip,70.0,US-FL,Lake Placid,03FA,03FA,"-81.40809631347656, 27.353099822998047"
03FD,closed,Tharpe Airport,115.0,US-FL,Bonifay,,,"-85.731003, 30.8288"
03FL,heliport,Ranger Heliport,20.0,US-FL,West Palm Beach,03FL,03FL,"-80.18730163574219, 26.683700561523438"
03GA,small_airport,HIA Airport,238.0,US-IN,Statesboro,03GA,03GA,"-81.8576944, 32.5623056"
03I,closed,Clarks Dream Strip,680.0,US-OH,Circleville,,,"-83.018204, 39.644199"
03IA,small_airport,East Field,954.0,US-IA,Montezuma,03IA,03IA,"-92.4613037109375, 41.58190155029297"
03ID,small_airport,Flying Y Ranch Airport,3180.0,US-ID,Council,03ID,03ID,"-116.53299713134766, 44.7943000793457"
03II,small_airport,Davis Field Ultralightport,465.0,US-IN,Mount Vernon,03II,03II,"-87.7789001465, 37.9620018005"
03IL,small_airport,Wix Airport,750.0,US-IL,Monee,03IL,03IL,"-87.81670379638672, 41.40230178833008"
03IN,small_airport,Heinzman Airport,850.0,US-IN,Arcadia,03IN,03IN,"-86.01249694824219, 40.18000030517578"
03IS,heliport,OSF St Anthony's Health Center Heliport,580.0,US-IL,Alton,03IS,03IS,"-90.173401, 38.904999"
03KS,heliport,Valley Grain Heliport,1160.0,US-KS,Highland,03KS,03KS,"-95.26409912109375, 39.86470031738281"
03KY,small_airport,Flying H Farms Airport,385.0,US-KY,Henderson,03KY,03KY,"-87.54139709472656, 37.79169845581055"
03LA,heliport,Damien Heliport,25.0,US-LA,Carville,03LA,03LA,"-91.12789916992188, 30.199600219726562"
03LS,heliport,Fmc Nr 1 Heliport,79.0,US-LA,Winnsboro,03LS,03LS,"-91.70800018310547, 32.159000396728516"
03M,seaplane_base,Lakeside Marina Seaplane Base,165.0,US-ME,East Winthrop,03M,03M,"-69.8895034790039, 44.320899963378906"
03MA,small_airport,Hadley Airport,150.0,US-MA,Hadley,03MA,03MA,"-72.552001953125, 42.39310073852539"
03MD,heliport,Upper Chesapeake Medical Center Heliport,302.0,US-MD,Bel Air,03MD,03MD,"-76.32669830322266, 39.522499084472656"
03ME,small_airport,Maple Ridge Airport,556.0,US-ME,Harrison,03ME,03ME,"-70.6272964477539, 44.08420181274414"
03MI,heliport,Harold Miller Heliport,585.0,US-MI,Bay City,03MI,03MI,"-83.86219787597656, 43.550899505615234"
03MN,small_airport,Nauerth Land Ranch Airport,1435.0,US-MN,Lakefield,03MN,03MN,"-95.22470092773438, 43.62519836425781"
03MO,closed,Cahoochie Airport,1010.0,US-MO,Urbana,,,"-93.131599, 37.884499"
03MS,heliport,Vicksburg Medical Center Heliport,110.0,US-MS,Vicksburg,03MS,03MS,"-90.8832015991211, 32.31880187988281"
03MT,small_airport,Cascade Field,3580.0,US-MT,Cascade,3MT7,3MT7,"-111.71748, 47.267327"
03MU,small_airport,Mc Donnell Airport,874.0,US-MO,Archie,03MU,03MU,"-94.41249847410002, 38.4925003052"
03NC,small_airport,Pilots Ridge Airport,35.0,US-NC,Carolina Beach,03NC,03NC,"-77.9041976928711, 34.10430145263672"
03ND,small_airport,Olafson Brothers Airport,1045.0,US-ND,Edinburg,03ND,03ND,"-97.8290023803711, 48.626399993896484"
03NE,small_airport,Hyde Ranch Airport,2430.0,US-NE,Comstock,03NE,03NE,"-99.3311996459961, 41.5463981628418"
03NH,heliport,Lorden Heliport,400.0,US-NH,Milford,03NH,03NH,"-71.12439727783203, 42.815399169921875"
03NJ,heliport,At&T Heliport,360.0,US-NJ,Berkeley Heights,03NJ,03NJ,"-74.410697937012, 40.668701171875"
03NV,small_airport,Llama Ranch Airport,6120.0,US-NV,Ruby Valley,03NV,03NV,"-115.2979965209961, 40.58440017700195"
